test_id,scenario,model,WASA97,WeightedAccuracy,AUROC
4426783,hybrid,smartmap,0.9646017699115045,0.8371818,0.703125
4426783,hybrid,lr,0.8116357853982301,0.7211007,0.46875
46343,stationary,naive,0.9101778629456694,0.8838089,0.7974683544303798
46343,stationary,smartmap,0.9132951877142317,0.9059946,0.8354430379746836
46343,stationary,lr,0.8149037812744595,0.6738822,0.379746835443038
46343,hybrid,naive,0.9101778629456694,0.8838089,0.7974683544303798
46343,hybrid,smartmap,0.887128552535694,0.50000024,1.0
46343,hybrid,lr,0.8149037812744595,0.6738822,0.379746835443038
5498603,stationary,naive,0.9420048455481527,0.7110009,0.4519230769230769
5498603,stationary,smartmap,0.9420502725620835,0.6204422,0.2692307692307692
5498603,stationary,lr,0.7792701393095094,0.6621366,0.3557692307692308
5498603,hybrid,naive,0.9420048455481527,0.7110009,0.4519230769230769
5498603,hybrid,smartmap,0.9561023622047242,0.6621366,0.3557692307692308
5498603,hybrid,lr,0.7792701393095094,0.6621366,0.3557692307692308
5797046,stationary,naive,0.8203687783476121,0.72821134,0.4810126582278481
5797046,stationary,smartmap,0.8761746657575668,0.71321124,0.45569620253164556
5797046,stationary,lr,0.737171315922094,0.6625783,0.35443037974683544
5797046,hybrid,naive,0.8203687783476121,0.72821134,0.4810126582278481
5797046,hybrid,smartmap,0.9126522989357602,0.75294226,0.5316455696202531
5797046,hybrid,lr,0.737171315922094,0.6625783,0.35443037974683544
6220552,stationary,naive,0.9138581596775577,0.65802723,0.34615384615384615
6220552,stationary,smartmap,0.9183174684846926,0.71571946,0.46153846153846156
6220552,stationary,lr,0.711023925906869,0.60367936,0.23076923076923078
6220552,hybrid,naive,0.9138581596775577,0.65802723,0.34615384615384615
6220552,hybrid,smartmap,0.8978217991595918,0.70610404,0.4423076923076923
6220552,hybrid,lr,0.711023925906869,0.60367936,0.23076923076923078
781756,stationary,naive,0.8672341172341173,0.6796027,0.38961038961038963
781756,stationary,smartmap,0.8506054756054756,0.8130339,0.7792207792207793
781756,stationary,lr,0.76499063999064,0.67423534,0.37662337662337664
781756,hybrid,naive,0.8672341172341173,0.6796027,0.38961038961038963
781756,hybrid,smartmap,0.8080101205101206,0.734249,0.6103896103896104
781756,hybrid,lr,0.76499063999064,0.67423534,0.37662337662337664
8000685,stationary,naive,0.9152456464284422,0.8113574,0.6451612903225806
8000685,stationary,smartmap,0.9548531914123312,0.8781181,0.7741935483870968
8000685,stationary,lr,0.7894355743818109,0.71289974,0.45161290322580644
8000685,hybrid,naive,0.9152456464284422,0.8113574,0.6451612903225806
8000685,hybrid,smartmap,0.9082582093334782,0.87362885,0.7741935483870968
8000685,hybrid,lr,0.7894355743818109,0.71289974,0.45161290322580644
8173033,stationary,naive,0.9075473109432268,0.83072793,0.6896551724137931
8173033,stationary,smartmap,0.9786820255815694,0.9234423,0.8620689655172413
8173033,stationary,lr,0.8876131348642382,0.76826984,0.5517241379310345
8173033,hybrid,naive,0.9075473109432268,0.83072793,0.6896551724137931
8173033,hybrid,smartmap,0.9823846211384546,0.90077794,0.8275862068965517
8173033,hybrid,lr,0.8876131348642382,0.76826984,0.5517241379310345
844359,stationary,naive,0.9207943797496037,0.7323273,0.4945054945054945
844359,stationary,smartmap,0.8641545022142038,0.68225497,0.3956043956043956
844359,stationary,lr,0.8107812585424525,0.6554043,0.34065934065934067
844359,hybrid,naive,0.9207943797496037,0.7323273,0.4945054945054945
844359,hybrid,smartmap,0.8403176425564486,0.72133833,0.4725274725274725
844359,hybrid,lr,0.8107812585424525,0.6554043,0.34065934065934067
8530312,stationary,naive,0.8288040712468192,0.67870235,0.38666666666666666
8530312,stationary,smartmap,0.890407124681934,0.63933843,0.30666666666666664
8530312,stationary,lr,0.7707294317217982,0.653308,0.3333333333333333
8530312,hybrid,naive,0.8288040712468192,0.67870235,0.38666666666666666
8530312,hybrid,smartmap,0.8692027141645462,0.6913996,0.41333333333333333
8530312,hybrid,lr,0.7707294317217982,0.653308,0.3333333333333333
8686948,stationary,naive,0.9755826859045504,0.93899065,0.8979591836734694
8686948,stationary,smartmap,0.9650388457269701,0.96503884,1.0
8686948,stationary,lr,0.8187274909963985,0.7638565,0.5510204081632653
8686948,hybrid,naive,0.9755826859045504,0.93899065,0.8979591836734694
8686948,hybrid,smartmap,0.9558993408684229,0.9520601,0.9795918367346939
8686948,hybrid,lr,0.8187274909963985,0.7638565,0.5510204081632653
8692923,stationary,naive,0.9671396895787139,0.91236144,0.8454545454545455
8692923,stationary,smartmap,0.9762416851441242,0.9217295,0.8727272727272727
8692923,stationary,lr,0.6965853658536585,0.70748335,0.44545454545454544
8692923,hybrid,naive,0.9671396895787139,0.91236144,0.8454545454545455
8692923,hybrid,smartmap,0.9644179600886917,0.8690133,0.7636363636363637
8692923,hybrid,lr,0.6965853658536585,0.70748335,0.44545454545454544
9106476,stationary,naive,0.9039170506912443,0.74327075,0.5176470588235295
9106476,stationary,smartmap,0.8519720791542423,0.6391165,0.3058823529411765
9106476,stationary,lr,0.6225806451612903,0.5907836,0.2
9106476,hybrid,naive,0.9039170506912443,0.74327075,0.5176470588235295
9106476,hybrid,smartmap,0.9333423692057469,0.7774128,0.5882352941176471
9106476,hybrid,lr,0.6225806451612903,0.5907836,0.2
