idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S045,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,30,0.3621881,0.12685885729193844,0.944625850340136,1.0,0.0,0.2591336483143068,0.26168269863637106,0.1880444798414622
S046,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,31,0.3627384,0.39906374246505066,0.9422141119221411,1.0,0.0,0.21872803946177125,0.15853165655247048,0.21803473471115623
S048,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,32,0.3618384,0.08419380460683082,0.9518594769810329,1.0,0.0,0.2732086281010974,0.27235500473466756,0.1946978766069258
S049,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,33,0.36253655,0.20684695051783658,0.9526078759949728,1.0,0.0,0.28989715766442314,0.2712120241221907,0.2094953759232289
S050,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,34,0.36190844,0.07799472295514512,0.9202830188679245,1.0,0.0,0.28589920085243736,0.2887849353359273,0.22571516893266608
S051,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,35,0.36192816,0.13958076448828607,0.9531490015360983,1.0,0.0,0.28294515939289616,0.2804567151365936,0.19058618970470154
S053,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,36,0.36221194,0.18508954602249064,0.9437395659432387,1.0,0.0,0.2897625441434955,0.2962728748172663,0.19386612698137917
S054,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,37,0.3618914,0.10864987130489041,0.9594628078695674,1.0,0.0,0.3108607177142022,0.3047026265177787,0.20690533504608866
S056,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,38,0.361925,0.09623460744536978,0.9464848484848485,1.0,0.0,0.30287422400619196,0.31280974985979315,0.1901973807012209
S057,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,39,0.36187857,0.08750952018278751,0.9610852713178295,1.0,0.0,0.2977902488766972,0.30139349062740567,0.1817107360299611
S061,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,40,0.3617597,0.06478999106344951,0.9712975699220541,1.0,0.0,0.3076010137712263,0.31283672230855447,0.17370774068199984
S062,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,41,0.36207414,0.16165615353643806,0.9500904159132008,1.0,0.0,0.28756935345273676,0.28931475234500104,0.20243637141397003
S063,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,42,0.36181843,0.08139534883720931,0.9516449410304159,1.0,0.0,0.2853326281996226,0.28851572317728424,0.20361055619983942
S064,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,43,0.36170405,0.04302776239816499,0.960652355455126,1.0,0.0,0.31679278257780874,0.3171366238949854,0.17720747086313035
